Subject Name,Course Link,Discipline,SME Name,Institute
Acoustic Instabilities in Aerospace Propulsion,https://nptel.ac.in/courses/101/106/101106031/,Aerospace Engineering,Prof. R.I. Sujith,IIT Madras
Advanced Control System Design for Aerospace Vehicles,https://nptel.ac.in/courses/101/108/101108047/,Aerospace Engineering,Dr. Radhakant Padhi,IISc Bangalore
Aero elasticity,https://nptel.ac.in/courses/101/104/101104005/,Aerospace Engineering,Prof. C. Venkatesan,IIT Kanpur
Aerospace Propulsion,https://nptel.ac.in/courses/101/106/101106033/,Aerospace Engineering,Dr. P.A. Ramakrishna,IIT Madras
"Aircraft Performance, Stability and control with experiments in Flight",https://nptel.ac.in/courses/101/104/101104007/,Aerospace Engineering,Mr.Yogendra SinghDr. Deepu PhilipDr. A.K. Ghosh,IIT Kanpur
Aircraft Structural Dynamics,https://nptel.ac.in/courses/101/105/101105022/,Aerospace Engineering,Dr. Anup GhoshDr. D.K. Maiti,IIT Kharagpur
Airplane design (Aerodynamic),https://nptel.ac.in/courses/101/106/101106035/,Aerospace Engineering,Prof. E.G. Tulapurkara,IIT Madras
Combustion,https://nptel.ac.in/courses/101/106/101106037/,Aerospace Engineering,Prof. S.R. Chakravarthy,IIT Madras
Composite Materials,https://nptel.ac.in/courses/101/106/101106038/,Aerospace Engineering,Prof. R. Velmurugan,IIT Madras
Composite Materials and Structures,https://nptel.ac.in/courses/101/104/101104010/,Aerospace Engineering,Dr. P.M. Mohite,IIT Kanpur
Experimental Gas/Aerodynamics,https://nptel.ac.in/courses/101/106/101106040/,Aerospace Engineering,Prof. Job Kurian,IIT Madras
Flight Dynamics II (Stability),https://nptel.ac.in/courses/101/106/101106042/,Aerospace Engineering,Dr. Nandan Kumar Sinha,IIT Madras
Flight dynamics I - Airplane performance,https://nptel.ac.in/courses/101/106/101106041/,Aerospace Engineering,Prof. E.G. Tulapurkara,IIT Madras
Flight dynamics II - Airplane stability and control,https://nptel.ac.in/courses/101/106/101106043/,Aerospace Engineering,Prof. E.G. Tulapurkara,IIT Madras
Foundation of Scientific Computing,https://nptel.ac.in/courses/101/104/101104013/,Aerospace Engineering,Prof. Tapan K. Sengupta,IIT Kanpur
Fundamentals of Combustion,https://nptel.ac.in/courses/101/104/101104014/,Aerospace Engineering,Dr. D.P. Mishra,IIT Kanpur
Gas Dynamics,https://nptel.ac.in/courses/101/106/101106044/,Aerospace Engineering,Dr. T.M. Muruganandam,IIT Madras
Guidance of Missiles,https://nptel.ac.in/courses/101/108/101108054/,Aerospace Engineering,Prof. Debasish Ghose,IISc Bangalore
High Speed Aero Dynamics,https://nptel.ac.in/courses/101/105/101105024/,Aerospace Engineering,Dr. K.P. Sinhamahapatra,IIT Kharagpur
High Speed Aero Dynamics,https://nptel.ac.in/courses/101/105/101105023/,Aerospace Engineering,Dr. K.P. Sinhamahapatra,IIT Kharagpur
Hypersonic Aerodynamics,https://nptel.ac.in/courses/101/103/101103003/,Aerospace Engineering,Dr. Vinayak KulkarniDr. N. Sahoo,IIT Guwahati
Instability and Transition of Fluid Flows,https://nptel.ac.in/courses/101/104/101104015/,Aerospace Engineering,Prof. Tapan K. Sengupta,IIT Kanpur
